feature,mean_abs_shap
country_North America,1.342550958265249e-05
industry_group_Consumer Durables & Apparel,1.3113810870368089e-05
country_United Kingdom,1.284794941682228e-05
industry_Computers & Peripherals,1.2668791926648938e-05
country_Canada - Prince Edward Island,1.224802871078673e-05
country_USA - Virginia,1.2244491364350782e-05
country_USA - South Carolina,1.1936780757316752e-05
country_Portugal,1.1823046019738506e-05
country_USA - Missouri,1.1259302971185492e-05
industry_group_Semiconductors & Semiconductors Equipment,1.1196129342884103e-05
country_USA - Pennsylvania,1.1079802639945305e-05
country_China - Jiangxi,1.0632133151037299e-05
dominant_stage_Operations,1.0571860568436628e-05
country_USA - Alaska,1.0553767098548216e-05
country_Russia,9.975544751940287e-06
country_North Macedonia,9.90002082961942e-06
country_USA - Texas,9.316983009191828e-06
country_USA - West Virginia,9.30955820568551e-06
country_Serbia,8.943375267206643e-06
country_China - Liaoning,8.77531088204131e-06
country_USA - Delaware,8.481023966929841e-06
protocol_simple_PAS 2050,8.345079592278334e-06
industry_Electrical Equipment,8.296529210602162e-06
industry_Communications Equipment,8.218350078475823e-06
country_China -Gansu,8.03247078657631e-06
country_China - Guangdong,7.89942663014758e-06
country_USA - Hawaii,7.839445382461488e-06
country_Canada - Alberta,7.574489602474929e-06
country_USA - Mississippi,7.2512568728095625e-06
country_Philippines,7.081812850365799e-06
country_Europe,7.040192424952472e-06
country_Mexico,7.015643237485029e-06
country_Latin America,6.997161319115184e-06
country_USA - Idaho,6.688732397588386e-06
country_Canada - Yukon,6.589048898072968e-06
country_Czechia,6.542781155996555e-06
country_USA - Vermont,6.485389828730211e-06
industry_Food & Staples Retailing,5.853617436963105e-06
country_USA - Connecticut,5.580163139056178e-06
country_USA - Arizona,5.462388969566743e-06
country_USA - Georgia,5.341342806962088e-06
country_USA - North Dakota,4.91585820381165e-06
country_Lithuania,4.760729443424497e-06
country_USA - Oregon,4.759096314397318e-06
country_China - Shandong,4.614264134370596e-06
country_Vietnam,4.575313853655827e-06
country_Sub Saharan Africa,4.549621976617553e-06
country_USA - Alabama,4.482796977868825e-06
country_USA - Nevada,4.334502775130575e-06
industry_infrequent_sklearn,4.25241425152685e-06
country_Chile,4.099115225153961e-06
industry_Semiconductors & Semiconductor Equipment,3.704362514034111e-06
country_China - Hebei,3.4971381323532295e-06
weight_category_Heavy (100-1000 kg),3.429161692155462e-06
country_South Africa,3.400330259430178e-06
industry_group_Containers & Packaging,3.328843228067842e-06
country_Hong Kong,3.28000482720446e-06
industry_group_Commercial & Professional Services,3.2359120089815788e-06
industry_Polyethylene (Ethane Cracking),2.4794729372231454e-06
industry_Office Electronics,2.391906768230687e-06
country_USA - Tennessee,2.215762208092167e-06
country_USA - Maine,2.2015054326850263e-06
country_USA - Utah,1.8671413081086286e-06
industry_group_Electrical Equipment and Machinery,1.6769702294860812e-06
industry_group_Software & Services,1.4592097962242584e-06
industry_Household Durables,1.3734273340564117e-06
industry_group_Automobiles & Components,5.528141184531195e-07
industry_Auto Components,2.6127616970780397e-07
country_USA - Wisconsin,1.8658623421261054e-07
country_USA - North Carolina,1.1903071663448931e-18
transport_improvement_pct,0.0
renewable_energy_pct,0.0
material_reduction_pct,0.0
industry_Automobiles,0.0
"industry_group_Consumer Durables, Household and Personal Products",0.0
industry_group_Capital Goods,0.0
"industry_group_Forest and Paper Products - Forestry, Timber, Pulp and Paper, Rubber",0.0
industry_group_Semiconductors & Semiconductor Equipment,0.0
"industry_group_Mining - Iron, Aluminum, Other Metals",0.0
industry_group_Tires,0.0
industry_group_infrequent_sklearn,0.0
industry_Trading Companies & Distributors,0.0
industry_Building Products,0.0
"industry_Oil, Gas & Consumable Fuels",0.0
industry_Paper & Forest Products,0.0
country_Moldova,0.0
industry_Metals & Mining,0.0
company_sector_Construction & commercial materials,0.0
future_year_gap,0.0
